buy_date,buy_value,num_shares,position_type,cash_balance,sell_date,sell_value,profit_loss,borrowed_value,borrow_cost
2021-04-14 10:49:00,113.723,36.48998450464298,long,4147.451638797721,2021-04-14 10:54:00,113.66,-2.298869023792595,,
2021-04-14 10:54:00,113.66,36.48998450464298,short,4157.413404567488,2021-04-14 11:09:00,113.387,9.961765769767393,4147.451638797721,0.0
2021-04-14 11:09:00,113.387,36.66569716605509,long,4154.296820308374,2021-04-14 11:11:00,113.302,-3.1165842591144535,,
2021-04-14 11:11:00,113.302,36.66569716605509,short,4153.783500548049,2021-04-14 11:16:00,113.316,-0.513319760324617,4154.296820308374,0.0
2021-04-14 11:16:00,113.316,36.65663719640694,long,4153.050367804121,2021-04-14 11:17:00,113.296,-0.733132743927993,,
2021-04-14 11:17:00,113.296,36.65663719640695,short,4152.683801432157,2021-04-14 11:20:00,113.306,-0.3665663719637361,4153.050367804121,0.0
2021-04-14 11:20:00,113.306,36.65016681757504,long,4151.327745259908,2021-04-14 11:21:00,113.269,-1.3560561722499807,,
2021-04-14 11:21:00,113.269,36.65016681757504,short,4152.280649597165,2021-04-14 11:27:00,113.243,0.9529043372573344,4151.327745259908,0.0
2021-04-14 11:27:00,113.243,36.666996190467984,long,4150.117296821928,2021-04-14 11:32:00,113.184,-2.1633527752375192,,
2021-04-14 11:32:00,113.184,36.666996190467984,short,4145.717257279071,2021-04-14 11:36:00,113.304,-4.400039542856325,4150.117296821928,0.0
2021-04-14 11:36:00,113.304,36.589328331559976,long,4140.5581619843215,2021-04-14 11:39:00,113.163,-5.159095294750152,,
2021-04-14 11:39:00,113.163,36.589328331559976,short,4136.0576745995395,2021-04-14 11:46:00,113.286,-4.500487384782048,4140.5581619843215,0.0
2021-04-14 11:46:00,113.286,36.509874782405056,long,4132.078098248257,2021-04-14 11:49:00,113.177,-3.979576351281956,,
2021-04-14 11:49:00,113.177,36.509874782405056,short,4128.135031771758,2021-04-14 11:53:00,113.285,-3.943066476499377,4132.078098248257,0.0
2021-04-14 11:53:00,113.285,36.44026156836084,long,4128.827396741556,2021-04-14 12:03:00,113.304,0.6923649697990548,,
2021-04-14 12:03:00,113.304,36.44026156836084,short,4126.240138170202,2021-04-14 12:08:00,113.375,-2.587258571353545,4128.827396741556,0.0
2021-04-14 12:08:00,113.375,36.39462084383861,long,4123.474146986071,2021-04-14 12:13:00,113.299,-2.765991184131494,,
2021-04-14 12:13:00,113.299,36.39462084383861,short,4121.545232081347,2021-04-14 12:19:00,113.352,-1.928914904723347,4123.474146986071,0.0
2021-04-14 12:19:00,113.352,36.36058677466077,long,4123.072376725883,2021-04-14 12:26:00,113.394,1.5271446445358101,,
2021-04-14 12:26:00,113.394,36.36058677466077,short,4123.43598259363,2021-04-14 12:32:00,113.384,0.3636058677467937,4123.072376725883,0.0
2021-04-14 12:32:00,113.384,36.36700048149324,long,4125.763470624445,2021-04-14 12:46:00,113.448,2.327488030815311,,
2021-04-14 12:46:00,113.448,36.36700048149324,short,4124.817928611927,2021-04-14 12:51:00,113.474,-0.9455420125192047,4125.763470624445,0.0
2021-04-14 12:51:00,113.474,36.350335130619584,long,4123.4729662120935,2021-04-14 12:57:00,113.437,-1.3449623998331477,,
2021-04-14 12:57:00,113.437,36.350335130619584,short,4121.255595769126,2021-04-14 12:58:00,113.498,-2.217370442968051,4123.4729662120935,0.0
2021-04-14 12:58:00,113.498,36.31126183517882,long,4119.875767819389,2021-04-14 12:59:00,113.46,-1.3798279497371915,,
2021-04-14 12:59:00,113.46,36.31126183517882,short,4121.655019649313,2021-04-14 13:09:00,113.411,1.7792518299234856,4119.875767819389,0.0
2021-04-14 13:09:00,113.411,36.342638894369266,long,4121.327935899263,2021-04-14 13:15:00,113.402,-0.32708375004933576,,
2021-04-14 13:15:00,113.402,36.342638894369266,short,4120.637425760269,2021-04-14 13:22:00,113.421,-0.6905101389932143,4121.327935899263,0.0
2021-04-14 13:22:00,113.421,36.33046283986448,long,4119.184207246674,2021-04-14 13:29:00,113.381,-1.4532185135948064,,
2021-04-14 13:29:00,113.381,36.330462839864474,short,4122.671931679301,2021-04-14 13:40:00,113.285,3.4877244326271217,4119.184207246674,0.0
2021-04-14 13:40:00,113.285,36.392037177731396,long,4119.9425288909715,2021-04-14 13:42:00,113.21,-2.729402788329958,,
2021-04-14 13:42:00,113.21,36.392037177731396,short,4119.4330403704835,2021-04-14 13:48:00,113.224,-0.5094885204886036,4119.9425288909715,0.0
2021-04-14 13:48:00,113.224,36.38303752181943,long,4119.287508220396,2021-04-14 13:51:00,113.22,-0.1455321500874556,,
2021-04-14 13:51:00,113.22,36.38303752181943,short,4127.291776475197,2021-04-14 14:07:00,113.0,8.004268254800234,4119.287508220396,0.0
2021-04-14 14:07:00,113.0,36.52470598650617,long,4124.808096468115,2021-04-14 14:08:00,112.932,-2.4836800070823406,,
2021-04-14 14:08:00,112.932,36.52470598650617,short,4122.9453364628025,2021-04-14 14:10:00,112.983,-1.8627600053118853,4124.808096468115,0.0
2021-04-14 14:10:00,112.983,36.491731822157334,long,4134.622690645892,2021-04-14 14:32:00,113.303,11.677354183090097,,
2021-04-14 14:32:00,113.303,36.491731822157334,short,4135.790426064202,2021-04-14 14:39:00,113.271,1.1677354183089061,4134.622690645892,0.0
2021-04-14 14:39:00,113.271,36.51235025791422,long,4136.958821272455,2021-04-14 14:42:00,113.303,1.1683952082531264,,
2021-04-14 14:42:00,113.303,36.51235025791422,short,4142.9833590650105,2021-04-14 14:57:00,113.138,6.024537792555556,4136.958821272455,0.0
2021-04-14 14:57:00,113.138,36.61884918475676,long,4139.138379900611,2021-04-14 14:59:00,113.033,-3.844979164399606,,
2021-04-14 14:59:00,113.033,36.61884918475676,short,4139.724281487566,2021-04-14 15:06:00,113.017,0.5859015869563039,4139.138379900611,0.0
2021-04-14 15:06:00,113.017,36.62921756450416,long,4135.328775379826,2021-04-14 15:08:00,112.897,-4.395506107740145,,
2021-04-14 15:08:00,112.897,36.62921756450415,short,4132.618213280053,2021-04-14 15:13:00,112.971,-2.7105620997732367,4135.328775379826,0.0
2021-04-14 15:13:00,112.971,36.58123069885239,long,4136.130011427143,2021-04-14 15:20:00,113.067,3.5117981470894426,,
2021-04-14 15:20:00,113.067,36.58123069885239,short,4132.98402558704,2021-04-14 15:22:00,113.153,-3.1459858401017713,4136.130011427143,0.0
2021-04-14 15:22:00,113.153,36.5256248229127,long,4131.705628718239,2021-04-14 15:28:00,113.118,-1.2783968688023388,,
2021-04-14 15:28:00,113.118,36.5256248229127,short,4131.230795595541,2021-04-14 15:29:00,113.131,-0.47483312269805605,4131.705628718239,0.0
2021-04-14 15:29:00,113.131,36.51723042840195,long,4128.820658387267,2021-04-14 15:31:00,113.065,-2.41013720827462,,
2021-04-14 15:31:00,113.065,36.51723042840196,short,4124.073418431574,2021-04-14 15:35:00,113.195,-4.747239955692089,4128.820658387267,0.0
2021-04-14 15:35:00,113.195,36.43335322612814,long,4119.337082512178,2021-04-14 15:37:00,113.065,-4.736335919396493,,
2021-04-14 15:37:00,113.065,36.43335322612814,short,4127.206686809022,2021-04-14 15:59:00,112.849,7.869604296843459,4119.337082512178,0.0
2021-04-14 15:59:00,112.849,36.57282463122422,long,4125.487764051355,2021-04-14 16:10:00,112.802,-1.7189227576674304,,
2021-04-14 16:10:00,112.802,36.57282463122422,short,4126.365511842505,2021-04-14 19:18:00,112.778,0.8777477911494146,4125.487764051355,0.0
2021-04-14 19:18:00,112.778,36.58839057123291,long,4157.7217625620515,2021-04-15 09:30:00,113.635,31.356250719546576,,
2021-04-15 09:30:00,113.635,36.58839057123291,short,4144.91582586212,2021-04-15 09:31:00,113.985,-12.80593669993131,4157.7217625620515,0.0
2021-04-15 09:31:00,113.985,36.36369544994622,long,4142.734004135123,2021-04-15 09:36:00,113.925,-2.181821726996856,,
2021-04-15 09:36:00,113.925,36.36369544994621,short,4145.715827162018,2021-04-15 09:42:00,113.843,2.981823026895358,4142.734004135123,0.0
2021-04-15 09:42:00,113.843,36.416080278647065,long,4142.110635214432,2021-04-15 09:45:00,113.744,-3.605191947586196,,
2021-04-15 09:45:00,113.744,36.416080278647065,short,4141.855722652481,2021-04-15 09:46:00,113.751,-0.2549125619507116,4142.110635214432,0.0
2021-04-15 09:46:00,113.751,36.41159833893751,long,4141.673664660786,2021-04-15 09:47:00,113.746,-0.18205799169503942,,
2021-04-15 09:47:00,113.746,36.41159833893751,short,4140.290023923906,2021-04-15 09:51:00,113.784,-1.3836407368800228,4141.673664660786,0.0
2021-04-15 09:51:00,113.784,36.387277859135786,long,4135.814388747232,2021-04-15 09:53:00,113.661,-4.475635176673872,,
2021-04-15 09:53:00,113.661,36.387277859135786,short,4143.237393430496,2021-04-15 10:07:00,113.457,7.423004683263982,4135.814388747232,0.0
2021-04-15 10:07:00,113.457,36.518129277439876,long,4158.392417080633,2021-04-15 10:22:00,113.872,15.155023650137776,,
2021-04-15 10:22:00,113.872,36.51812927743987,short,4159.6705516053435,2021-04-15 10:23:00,113.837,1.278134524710271,4158.392417080633,0.0
2021-04-15 10:23:00,113.837,36.54058479760836,long,4160.291741546902,2021-04-15 10:24:00,113.854,0.6211899415591926,,
2021-04-15 10:24:00,113.854,36.54058479760836,short,4159.3051457573665,2021-04-15 10:27:00,113.881,-0.9865957895354631,4160.291741546902,0.0
2021-04-15 10:27:00,113.881,36.523258012814836,long,4179.173798116338,2021-04-15 10:43:00,114.425,19.868652358971158,,
2021-04-15 10:43:00,114.425,36.523258012814836,short,4174.864053670825,2021-04-15 10:44:00,114.543,-4.309744445512487,4179.173798116338,0.0
2021-04-15 10:44:00,114.543,36.44800689409938,long,4172.203349167556,2021-04-15 11:08:00,114.47,-2.6607045032695282,,
2021-04-15 11:08:00,114.47,36.44800689409938,short,4177.233174118941,2021-04-15 11:14:00,114.332,5.029824951385905,4172.203349167556,0.0
2021-04-15 11:14:00,114.332,36.53599319629623,long,4176.904350180174,2021-04-15 11:21:00,114.323,-0.32882393876667854,,
2021-04-15 11:21:00,114.323,36.53599319629624,short,4175.662126411499,2021-04-15 11:24:00,114.357,-1.2422237686742923,4176.904350180174,0.0
2021-04-15 11:24:00,114.357,36.51426783154069,long,4173.982470091249,2021-04-15 11:27:00,114.311,-1.6796563202505896,,
2021-04-15 11:27:00,114.311,36.51426783154069,short,4176.173326161142,2021-04-15 11:33:00,114.251,2.190856069892525,4173.982470091249,0.0
2021-04-15 11:33:00,114.251,36.55261946207159,long,4175.076747577279,2021-04-15 11:34:00,114.221,-1.0965785838621893,,
2021-04-15 11:34:00,114.221,36.55261946207159,short,4174.19948471019,2021-04-15 11:44:00,114.245,-0.8772628670897514,4175.076747577279,0.0
2021-04-15 11:44:00,114.245,36.53726189076274,long,4171.678413639727,2021-04-15 11:48:00,114.176,-2.5210710704627246,,
2021-04-15 11:48:00,114.176,36.53726189076274,short,4177.8897481611575,2021-04-15 11:58:00,114.006,6.211334521429729,4171.678413639727,0.0
2021-04-15 11:58:00,114.006,36.64622693683804,long,4177.486639664852,2021-04-15 11:59:00,113.995,-0.4031084963050601,,
2021-04-15 11:59:00,113.995,36.64622693683804,short,4172.246229212884,2021-04-15 12:00:00,114.138,-5.240410451967865,4177.486639664852,0.0
2021-04-15 12:00:00,114.138,36.55440106899441,long,4171.113042779745,2021-04-15 12:05:00,114.107,-1.1331864331390429,,
2021-04-15 12:05:00,114.107,36.55440106899441,short,4167.859701084605,2021-04-15 12:06:00,114.196,-3.2533416951404526,4171.113042779745,0.0
2021-04-15 12:06:00,114.196,36.497422861436526,long,4176.290605765597,2021-04-15 12:19:00,114.427,8.430904680992157,,
2021-04-15 12:19:00,114.427,36.497422861436526,short,4173.699288742435,2021-04-15 12:23:00,114.498,-2.5913170231619187,4176.290605765597,0.0
2021-04-15 12:23:00,114.498,36.45215889135561,long,4178.365165080528,2021-04-15 12:30:00,114.626,4.665876338093522,,
2021-04-15 12:30:00,114.626,36.4521588913556,short,4176.615461453743,2021-04-15 12:31:00,114.674,-1.7497036267851351,4178.365165080528,0.0
2021-04-15 12:31:00,114.674,36.42164275645519,long,4175.486390528293,2021-04-15 12:33:00,114.643,-1.1290709254503262,,
2021-04-15 12:33:00,114.643,36.42164275645519,short,4174.612271102138,2021-04-15 12:34:00,114.667,-0.8741194261549577,4175.486390528293,0.0
2021-04-15 12:34:00,114.667,36.406396531714776,long,4181.820737615418,2021-04-15 12:48:00,114.865,7.208466513279282,,
2021-04-15 12:48:00,114.865,36.406396531714776,short,4172.9011704651475,2021-04-15 12:50:00,115.11,-8.919567150270286,4181.820737615418,0.0
2021-04-15 12:50:00,115.11,36.25142186139473,long,4174.387478761465,2021-04-15 13:01:00,115.151,1.4863082963170686,,
2021-04-15 13:01:00,115.151,36.25142186139473,short,4174.133718808435,2021-04-15 13:05:00,115.158,-0.2537599530299445,4174.387478761465,0.0
2021-04-15 13:05:00,115.158,36.247014699877,long,4172.103885985242,2021-04-15 13:06:00,115.102,-2.029832823193017,,
2021-04-15 13:06:00,115.102,36.247014699877,short,4177.613432219624,2021-04-15 13:15:00,114.95,5.509546234381341,4172.103885985242,0.0
2021-04-15 13:15:00,114.95,36.342874573463455,long,4183.791720897113,2021-04-15 13:29:00,115.12,6.178288677488849,,
2021-04-15 13:29:00,115.12,36.342874573463455,short,4179.394233073724,2021-04-15 13:30:00,115.241,-4.3974878233889,4183.791720897113,0.0
2021-04-15 13:30:00,115.241,36.266556460580205,long,4178.306236379906,2021-04-15 13:35:00,115.211,-1.0879966938174475,,
2021-04-15 13:35:00,115.211,36.266556460580205,short,4178.306236379906,2021-04-15 13:42:00,115.211,0.0,4178.306236379906,0.0
2021-04-15 13:42:00,115.211,36.266556460580205,long,4177.653438363615,2021-04-15 13:47:00,115.193,-0.6527980162904684,,
2021-04-15 13:47:00,115.193,36.266556460580205,short,4176.855574121482,2021-04-15 13:48:00,115.215,-0.7978642421329666,4177.653438363615,0.0
2021-04-15 13:48:00,115.215,36.2527064542072,long,4162.281986126892,2021-04-15 14:08:00,114.813,-14.573587994591332,,
2021-04-15 14:08:00,114.813,36.25270645420721,short,4158.439199242745,2021-04-15 14:14:00,114.919,-3.842786884145766,4162.281986126892,0.0
2021-04-15 14:14:00,114.919,36.18582827245926,long,4157.462181879389,2021-04-15 14:20:00,114.892,-0.9770173633564371,,
2021-04-15 14:20:00,114.892,36.18582827245926,short,4159.850446545372,2021-04-15 14:28:00,114.826,2.3882646659824016,4157.462181879389,0.0
2021-04-15 14:28:00,114.826,36.227426249676654,long,4154.742379444167,2021-04-15 14:30:00,114.685,-5.108067101204087,,
2021-04-15 14:30:00,114.685,36.227426249676654,short,4153.945376066676,2021-04-15 14:36:00,114.707,-0.7970033774925733,4154.742379444167,0.0
2021-04-15 14:36:00,114.707,36.21352991593081,long,4152.967610758946,2021-04-15 14:41:00,114.68,-0.9777653077296544,,
2021-04-15 14:41:00,114.68,36.21352991593081,short,4151.519069562309,2021-04-15 14:42:00,114.72,-1.4485411966369444,4152.967610758946,0.0
2021-04-15 14:42:00,114.72,36.18827640831859,long,4150.505797822876,2021-04-15 14:43:00,114.692,-1.0132717394331305,,
2021-04-15 14:43:00,114.692,36.18827640831859,short,4150.903868863367,2021-04-15 14:46:00,114.681,0.39807104049134817,4150.505797822876,0.0
