buy_date,buy_value,num_shares,position_type,cash_balance,borrowed_value,sell_date,sell_value,profit_loss,borrow_cost
2021-03-30 09:19:00,128.174,22.590643591627817,long,2892.5285961156173,,2021-03-30 09:28:00,128.041,-3.0045555976867204,
2021-03-30 09:28:00,128.041,22.590643591627817,short,2901.7003974138183,2892.5285961156173,2021-03-30 09:37:00,127.635,9.171801298200705,0.0
2021-03-30 09:37:00,127.635,22.734362811249408,long,2891.378996697511,,2021-03-30 09:42:00,127.181,-10.321400716307407,
2021-03-30 09:42:00,127.181,22.734362811249408,short,2887.013999037751,2891.378996697511,2021-03-30 09:47:00,127.373,-4.364997659760052,0.0
2021-03-30 09:47:00,127.373,22.665823989681886,long,2897.1909540091183,,2021-03-30 09:58:00,127.822,10.176954971367124,
2021-03-30 09:58:00,127.822,22.665823989681886,short,2904.2626910938993,2897.1909540091183,2021-03-30 10:07:00,127.51,7.071737084780694,0.0
2021-03-30 10:07:00,127.51,22.776744499207116,long,2905.424305063359,,2021-03-30 10:08:00,127.561,1.1616139694596068,
2021-03-30 10:08:00,127.561,22.776744499207116,short,2902.212784088971,2905.424305063359,2021-03-30 10:09:00,127.702,-3.211520974388001,0.0
2021-03-30 10:09:00,127.702,22.726447386015654,long,2901.144641061828,,2021-03-30 10:14:00,127.655,-1.0681430271426686,
2021-03-30 10:14:00,127.655,22.726447386015654,short,2903.4172858004295,2901.144641061828,2021-03-30 10:15:00,127.555,2.272644738601436,0.0
2021-03-30 10:15:00,127.555,22.762081343737442,long,2906.034925154959,,2021-03-30 10:38:00,127.67,2.617639354529689,
2021-03-30 10:38:00,127.67,22.762081343737442,short,2901.5052709675556,2906.034925154959,2021-03-30 10:40:00,127.869,-4.529654187403707,0.0
2021-03-30 10:40:00,127.869,22.691232988195384,long,2922.8577212094474,,2021-03-30 10:55:00,128.81,21.352450241891912,
2021-03-30 10:55:00,128.81,22.691232988195384,short,2920.475141745687,2922.8577212094474,2021-03-30 11:01:00,128.915,-2.3825794637602833,0.0
2021-03-30 11:01:00,128.915,22.65426941586074,long,2918.096443457022,,2021-03-30 11:04:00,128.81,-2.378698288665146,
2021-03-30 11:04:00,128.81,22.65426941586074,short,2916.1708305566735,2918.096443457022,2021-03-30 11:09:00,128.895,-1.925612900348343,0.0
2021-03-30 11:09:00,128.895,22.624390632349378,long,2916.555445197423,,2021-03-30 11:15:00,128.912,0.38461464074984686,
2021-03-30 11:15:00,128.912,22.624390632349378,short,2922.4830355430986,2916.555445197423,2021-03-30 11:25:00,128.65,5.927590345675547,0.0
2021-03-30 11:25:00,128.65,22.716541278998044,long,2922.7329174971674,,2021-03-30 11:26:00,128.661,0.24988195406888034,
2021-03-30 11:26:00,128.661,22.716541278998044,short,2921.2790588553116,2922.7329174971674,2021-03-30 11:59:00,128.725,-1.4538586418557147,0.0
